nozzle_id,nozzle,totalisator_awal,totalisator_akhir
1,Nozzle 1,6917375.99,6917794.19
2,Nozzle 2,4713029.73,4713111.95
3,Nozzle 3,12690754.41,12691785.76
4,Nozzle 4,23688054.71,23690089.47
5,Nozzle 5,1690280.47,1690998.62
6,Nozzle 6,778727.14,779063.68
7,Nozzle 7,14344281.51,14344657.28
8,Nozzle 8,21037429.47,21038144.21
9,Nozzle 9,6104276.15,6105771.81
10,Nozzle 10,6646501.65,6647478.57
11,Nozzle 11,21557952.97,21558154.67
12,Nozzle 12,21715433.6,21715989.96
13,Nozzle 13,4968837.63,4969131.2
14,Nozzle 14,6304163.54,6305110.6
15,Nozzle 15,1123930.39,1124011.16
16,Nozzle 16,495917.53,495952.43
